trajectory_id,split,index,du,dv,k,ic_seed
v2-training-0000,training,0,0.0009080734981240635,0.005507539293664843,0.0055588218185254916,20460922
v2-training-0001,training,1,0.0009907718357563778,0.004467861057609053,0.004402714860363004,20460923
v2-training-0002,training,2,0.0009748547107264871,0.005462480610649759,0.005514985186255313,20460924
v2-training-0003,training,3,0.001096439479241736,0.004484104135572445,0.005720953564975029,20460925
v2-training-0004,training,4,0.00102803378036816,0.004418504597832021,0.0054970112926435236,20460926
v2-training-0005,training,5,0.0008870777860950423,0.005747470136356666,0.004158915166788474,20460927
v2-training-0006,training,6,0.0009548713413322092,0.004902019172979055,0.005035450969891062,20460928
v2-training-0007,training,7,0.001152769195088994,0.005882677956112936,0.004540626329116067,20460929
v2-training-0008,training,8,0.001033403115367781,0.004270595248306707,0.004569092868888325,20460930
v2-training-0009,training,9,0.0008505152295207043,0.005972505453577745,0.0048099134616625605,20460931
v2-training-0010,training,10,0.0009759611072636084,0.005940018416765494,0.00516545095380588,20460932
v2-training-0011,training,11,0.001160919721580761,0.004760832253706936,0.005551019504323274,20460933
v2-training-0012,training,12,0.0009619866109361253,0.005353846322052972,0.004499730535718187,20460934
v2-training-0013,training,13,0.0010102873507293218,0.004403068526687799,0.005196756120639351,20460935
v2-training-0014,training,14,0.0009804650419718561,0.005828641683793561,0.004610697216873226,20460936
v2-training-0015,training,15,0.0010455843094886183,0.004005709333642529,0.0056456961916950535,20460937
v2-training-0016,training,16,0.0008790439859472625,0.004504854397017696,0.00422941600447036,20460938
v2-training-0017,training,17,0.0011051517510568469,0.005204573330686715,0.004529588365705537,20460939
v2-training-0018,training,18,0.0010016361133562495,0.005468034991837151,0.005187790008434261,20460940
v2-training-0019,training,19,0.00084872722237301,0.0056160986700646565,0.004050788900342815,20460941
v2-training-0020,training,20,0.0009532898140616515,0.004721564087758457,0.005688808510431452,20460942
v2-training-0021,training,21,0.0009891420747277287,0.004942486570236443,0.005994006943928553,20460943
v2-training-0022,training,22,0.0010235605717029746,0.004673175793086356,0.004859687077215276,20460944
v2-training-0023,training,23,0.0011680683580006744,0.0041833896679074134,0.005961171150720148,20460945
v2-training-0024,training,24,0.0008855105343848031,0.0048948745195285465,0.005260595082911452,20460946
v2-training-0025,training,25,0.001089118207222728,0.005559627165937161,0.004722773089836919,20460947
v2-training-0026,training,26,0.0011166972261375677,0.004609772906482873,0.00566238720072345,20460948
v2-training-0027,training,27,0.0011472209076355572,0.004360553657320817,0.005766962419099183,20460949
v2-training-0028,training,28,0.0010529423229460448,0.0057718208076835,0.005955544585817985,20460950
v2-training-0029,training,29,0.0008607917046006268,0.0047788909489088205,0.005251164133848156,20460951
v2-training-0030,training,30,0.0008863611382613326,0.005242720737245514,0.005134685008591473,20460952
v2-training-0031,training,31,0.0009093697692240502,0.004537037240569589,0.004946272237591764,20460953
v2-training-0032,training,32,0.0011134193044293982,0.005774147491123332,0.005601024309975514,20460954
v2-training-0033,training,33,0.001110058295978718,0.004040893493782772,0.004271668345562232,20460955
v2-training-0034,training,34,0.0009077867896756628,0.005392969462706075,0.004893238084640408,20460956
v2-training-0035,training,35,0.0008715560864806629,0.0043058571517642225,0.005075034311562132,20460957
v2-training-0036,training,36,0.0010665537694893568,0.005604241792061058,0.005584490187933874,20460958
v2-training-0037,training,37,0.0008951705088358974,0.0040748153737135,0.004661198488264505,20460959
v2-training-0038,training,38,0.0011305847059275755,0.005695288222419841,0.005362899209809146,20460960
v2-training-0039,training,39,0.0010285753993150078,0.005320902146468548,0.005692023062390682,20460961
v2-training-0040,training,40,0.0009050035483764244,0.005988528071913006,0.0054468307605020656,20460962
v2-training-0041,training,41,0.0008972228369005858,0.005338180757556929,0.004283380452045416,20460963
v2-training-0042,training,42,0.0009335817721099225,0.005787292609938887,0.004260888451973277,20460964
v2-training-0043,training,43,0.0008452738012490724,0.004908663875661163,0.004937446899614671,20460965
v2-training-0044,training,44,0.0010043883296531047,0.004370954728222072,0.004431850711232136,20460966
v2-training-0045,training,45,0.0011564144626312963,0.0055109310520817115,0.005232776852808512,20460967
v2-training-0046,training,46,0.0011289991656376534,0.005513523365094256,0.004142371010338837,20460968
v2-training-0047,training,47,0.0008989806916486102,0.005445696704227825,0.004245841385149934,20460969
v2-training-0048,training,48,0.0011499194818930512,0.0050316414074495,0.004233139125330089,20460970
v2-training-0049,training,49,0.0011776141786738427,0.004008115269614625,0.005831445020498312,20460971
v2-training-0050,training,50,0.0008429238947721587,0.004868701438893093,0.004376713364070684,20460972
v2-training-0051,training,51,0.0010957513053062445,0.004938001852357855,0.004257607090945876,20460973
v2-training-0052,training,52,0.0011115112033447804,0.005923963575495597,0.005183872332825719,20460974
v2-training-0053,training,53,0.0008092529947087027,0.004109686454380047,0.005563281169749735,20460975
v2-training-0054,training,54,0.0009821281663056154,0.005270937837543696,0.004063111254609778,20460976
v2-training-0055,training,55,0.0008417218157997337,0.004867130827750044,0.004729610375028565,20460977
v2-training-0056,training,56,0.0009675473202598926,0.004218649899580157,0.004910056719927312,20460978
v2-training-0057,training,57,0.0010717378201056224,0.005837548379062901,0.004469393844855854,20460979
v2-training-0058,training,58,0.0011025709298251264,0.005789071777608992,0.005671194042211159,20460980
v2-training-0059,training,59,0.0011589457286921203,0.005983184060324645,0.004928836366219345,20460981
v2-training-0060,training,60,0.001118801742506208,0.0040913769715915016,0.005862575369265199,20460982
v2-training-0061,training,61,0.001187639405409577,0.005627381341572822,0.004921447478371457,20460983
v2-training-0062,training,62,0.0008963362564090898,0.005518531474507329,0.004320452725168254,20460984
v2-training-0063,training,63,0.0008813128714428362,0.0045259807069161564,0.0043445789187691415,20460985
v2-training-0064,training,64,0.0011967342230819631,0.004259097327056145,0.005120719335039225,20460986
v2-training-0065,training,65,0.0008888925546369532,0.004596001340123876,0.005059832250659569,20460987
v2-training-0066,training,66,0.0008020329773433988,0.005003295477724719,0.004114781395929591,20460988
v2-training-0067,training,67,0.00084014230091407,0.004100897396079922,0.004788137152829926,20460989
v2-training-0068,training,68,0.0008916946510356217,0.005365962627234367,0.005821352284032731,20460990
v2-training-0069,training,69,0.0009133516381742095,0.00449810474098894,0.004636901660083924,20460991
v2-training-0070,training,70,0.0010252444476242463,0.005412780796669131,0.005484883769894636,20460992
v2-training-0071,training,71,0.0010115675249715553,0.004294403351625045,0.004733354736569294,20460993
v2-training-0072,training,72,0.0011576710696448997,0.005677438647097305,0.005143400115983377,20460994
v2-training-0073,training,73,0.001102313871335289,0.004495545894922448,0.005194045771557642,20460995
v2-training-0074,training,74,0.0009256872910361144,0.005527110933756969,0.004080548598899749,20460996
v2-training-0075,training,75,0.0010397091957949677,0.004962649107729714,0.005121487097898041,20460997
v2-training-0076,training,76,0.0009995738465530919,0.005287970332218188,0.004864677212352701,20460998
v2-training-0077,training,77,0.0009456860828961616,0.00532948024628516,0.0056807982001777875,20460999
v2-training-0078,training,78,0.0010593751498118981,0.0046436178104626935,0.004475034770504197,20461000
v2-training-0079,training,79,0.0008662282475907974,0.004785693973802805,0.0054358508507842485,20461001
v2-training-0080,training,80,0.0009272479408888311,0.004064318310763786,0.004280359565307433,20461002
v2-training-0081,training,81,0.0008807256434495118,0.004411762060045689,0.004172804047473633,20461003
v2-training-0082,training,82,0.0009817281374350558,0.005538227285489051,0.004581478125323219,20461004
v2-training-0083,training,83,0.0011162445223676257,0.004752785727530267,0.005303431044515544,20461005
v2-training-0084,training,84,0.0010452897492450115,0.004634523079169584,0.005479754788687367,20461006
v2-training-0085,training,85,0.0009265472622200763,0.004573396863336457,0.005593283506540627,20461007
v2-training-0086,training,86,0.0009349094983213841,0.0056864355306774595,0.005529435391791104,20461008
v2-training-0087,training,87,0.0008083237937307561,0.00570921400967045,0.004616847155191764,20461009
v2-training-0088,training,88,0.001179325785810872,0.005910644439913036,0.005050216615508322,20461010
v2-training-0089,training,89,0.0009019183596587206,0.005294369933268136,0.004023975336048695,20461011
v2-training-0090,training,90,0.0011466865533297354,0.0056555011424476295,0.004411547207252193,20461012
v2-training-0091,training,91,0.0010424871201464318,0.004657659212150057,0.0047201151883498795,20461013
v2-training-0092,training,92,0.001043294369106083,0.005811927833103187,0.005888927057532085,20461014
v2-training-0093,training,93,0.0010100485690730488,0.005726697410392549,0.004869204372740284,20461015
v2-training-0094,training,94,0.0009987454704986091,0.004773911826118705,0.005789071841908414,20461016
v2-training-0095,training,95,0.000837547350552155,0.005458601871095189,0.004291249998283561,20461017
v2-training-0096,training,96,0.0008455407321159541,0.005010110999590592,0.004545981314081877,20461018
v2-training-0097,training,97,0.0011845085409569428,0.004490967887211856,0.005730608037195504,20461019
v2-training-0098,training,98,0.0008562605345544057,0.0043789431268013565,0.004385640165428343,20461020
v2-training-0099,training,99,0.0008275713656772093,0.00514332552224381,0.0059797968116994185,20461021
v2-training-0100,training,100,0.0011988416943597656,0.004764792410931768,0.005226355805429503,20461022
v2-training-0101,training,101,0.001012676560240752,0.005860365789750844,0.005737530811650203,20461023
v2-training-0102,training,102,0.0009587184846600499,0.005931222450159265,0.0057945768762748305,20461024
v2-training-0103,training,103,0.0011375569315266836,0.004743219824971932,0.005546985406809462,20461025
v2-training-0104,training,104,0.0011739342536535708,0.00566132228232767,0.004851788787513252,20461026
v2-training-0105,training,105,0.0011944361613636088,0.005612042968424242,0.004836779095620464,20461027
v2-training-0106,training,106,0.0011090577932667467,0.005251181979399296,0.0058916459226404,20461028
v2-training-0107,training,107,0.0010768955047728021,0.004173343889165054,0.005614936213660857,20461029
v2-training-0108,training,108,0.0010368621814797426,0.0043404196709215335,0.004274231510479543,20461030
