trajectory_id,split,index,du,dv,k,ic_seed
v2-pilot-0000,pilot,0,0.0011657955196018009,0.00466519790450865,0.00563178069202202,20360922
v2-pilot-0001,pilot,1,0.0008137515280192708,0.004979335840997421,0.0047507796859482245,20360923
v2-pilot-0002,pilot,2,0.0011238830963255458,0.005652642185043624,0.0053492954813085065,20360924
v2-pilot-0003,pilot,3,0.0010492807294415548,0.005109215704852248,0.0051018847894340495,20360925
v2-pilot-0004,pilot,4,0.000957174856996195,0.004743222552686579,0.004258555837753194,20360926
v2-pilot-0005,pilot,5,0.0009986902779434794,0.005835646949981982,0.0040616957890989205,20360927
v2-pilot-0006,pilot,6,0.0009436467130429404,0.005459731445792168,0.00594885323194287,20360928
v2-pilot-0007,pilot,7,0.0008271879828594036,0.005336970540930046,0.004556393352289236,20360929
v2-pilot-0008,pilot,8,0.001184638325119202,0.005271163858922876,0.0057819954501532825,20360930
v2-pilot-0009,pilot,9,0.001069011879854356,0.005034523152881226,0.005735578174821404,20360931
v2-pilot-0010,pilot,10,0.0010946023547109638,0.005956262795464606,0.004216365443762663,20360932
v2-pilot-0011,pilot,11,0.0011119723313056625,0.004816483477465737,0.005238328678075562,20360933
v2-pilot-0012,pilot,12,0.001033134691030892,0.005582854455851937,0.0048609225041513215,20360934
v2-pilot-0013,pilot,13,0.0009328303042283253,0.004509483070938148,0.0055726858697360635,20360935
v2-pilot-0014,pilot,14,0.0009134098251447599,0.005208868733729245,0.005442109275552892,20360936
v2-pilot-0015,pilot,15,0.0010553995980122778,0.0040286999530741606,0.0043452879657369875,20360937
v2-pilot-0016,pilot,16,0.001007693447838434,0.004286731458957918,0.00473791633882409,20360938
v2-pilot-0017,pilot,17,0.0008938273254745414,0.004214227907714798,0.004989195074312764,20360939
v2-pilot-0018,pilot,18,0.0008701661602714145,0.005752174066701387,0.005284564877529239,20360940
v2-pilot-0019,pilot,19,0.000969210224407589,0.005691771189541431,0.004437547617542626,20360941
v2-pilot-0020,pilot,20,0.001146471769182363,0.004457342486205744,0.005028595183103099,20360942
v2-pilot-0021,pilot,21,0.0011798472059106697,0.004153276043814731,0.004592562606814677,20360943
v2-pilot-0022,pilot,22,0.000833859448274045,0.004408945538300764,0.00416198880882429,20360944
v2-pilot-0023,pilot,23,0.0008519182591721631,0.004848508777515729,0.0059058300469503324,20360945
